Département,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Haute-Savoie,113,606,1063,1733,2175,2555,2842,3080,3306,3496,3710,3966,4102,4362
Seine-Maritime,98,746,1795,2620,3153,3354,3602,3349,3556,4067,4240,4446,4472,4691
Seine-et-Marne,24,214,560,1192,1863,2364,2663,2870,3277,3558,3706,3536,4078,4492
Yvelines,53,582,1338,2152,2909,3775,3743,4222,4230,4634,4611,4530,4765,5014
Deux-Sèvres,9,308,666,972,1397,1783,1975,2234,2386,2600,2647,2295,2347,2377
Somme,159,627,738,1371,1707,1609,2017,1852,2622,2796,2840,2648,2652,2649
Tarn,23,217,520,752,986,1212,1342,1518,1527,1640,1739,1853,1751,1824
Tarn-et-Garonne,32,280,362,507,643,838,1055,1118,1185,1298,1379,1472,1546,1609
Var,44,397,834,1180,1902,2447,2941,3524,3924,4373,4922,5283,5537,5780
Vaucluse,2,155,481,729,1039,1330,1503,1699,1760,1627,2171,2038,2165,2263
Vendée,159,741,1315,1809,2228,2665,2879,2953,3250,3648,3599,3588,3801,4109
Vienne,63,323,737,1140,1303,1407,1404,1455,1535,1575,1705,1759,1838,1999
Haute-Vienne,61,399,690,931,1224,1482,1702,1755,1746,1843,1847,1904,1867,2025
Vosges,39,292,704,907,1147,1263,1350,1452,1604,1771,1786,1834,1899,2199
Yonne,41,192,368,548,1056,1056,1234,1213,1340,1308,1325,1542,1557,1683
Territoire de Belfort,67,179,196,399,525,611,676,762,828,833,864,908,938,952
Essonne,137,687,1169,1822,2293,2462,2651,3077,3575,3979,4395,4627,4877,5580
Hauts-de-Seine,88,346,811,1193,1495,1911,2231,2361,2391,2842,3040,3257,3461,3676
Seine-Saint-Denis,30,380,1206,1794,2483,2958,4208,4967,5780,5899,6255,6262,6241,7348
Val-de-Marne,94,646,1307,1764,2241,2750,2798,3022,2934,2919,2931,3152,3276,3296
Val-d'Oise,157,797,1596,2243,2869,3766,4282,4850,4387,4744,4654,4867,5122,5288
