Départements,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Moselle,14212,15356,16203,17116,17504,18081,18125,18656,18596,19138,19252,19381,19229,19346
Nièvre,5485.4863705298,6615.86203296969,6918.87113572054,6856,6555,6404,6592,6566,6853,6616,6551,6596,6694,6782
Nord,37509.3225534157,39486.6893831159,41273.3953009044,43040.9960068155,44403,44145,45080,45363,42843,43482,45691,48358,48174,49371
Oise,7243.40296461976,7499.83628273805,7525.15142776192,8244.85064333632,8868.11191148422,9612,9760.64507380972,9247,9336,9674,9628,9808,10548,10580
Orne,6560.39016242938,7102.15555263487,7390.9263303566,7525,7797,7911,7996,8057,7991,7971,8317,8343,8743,8878
Pas-de-Calais,30467.391269471,32487.9432615953,33794.291000813,34055,33880,34424,34385,34340,35365,35902,35816,38413,39236,39602
Puy-de-Dôme,12106.9087047028,12825.8713438682,12780.6346793188,12889,12645,12815,13238,13261,13939,14012,13414,12815,12428,12135
Pyrénées-Atlantiques,11507,11820,12010,12351,12681,13135,13565,13680,14031,14559,14995,15408,16016,16237
Hautes-Pyrénées,6294,6621,6887,7173,7498,7767,7799,8062,8386,8216,8604,8820,9206,9378
Pyrénées-Orientales,8141,8637,9065,9717,10363,10959,11362,11667,11854,11935,12004,12074,12271,12644
Bas-Rhin,16824.8616654173,17611.8502724277,17966.1398858083,18392,19020,19473,20479,20686,20251,18490,18481,18864,19851,20321
Haut-Rhin,8719.65589291544,9692.98628795299,10702.4652301665,11433,12081,12029,12341,13068,12999,13007,12650,12790,12873,13071
Département du Rhône,17478.8688358302,19740.2543695381,21285.8641541823,21980,23998,25650,27592,28460,29322,30439,32467,33122,34164,33086
Haute-Saône,4304,4512,4574,4780,4493,4589,4548,4686,4757,4905,4974,5282,5266,5259
Saône-et-Loire,12702,13607,14165,14557,14619,14780,15085,15969,16618,16582,16560,16707,16748,16712
Sarthe,9668,9743,10076,10185,10188,10549,10706,10836,10727,10839,10865,11109,11108,11183
Savoie,6942,7223,7715,8128,8124,8595,8968,9163,9371,9311,9445,9313,9374,9267
Haute-Savoie,7566,8213,8797,9217,9861,10040,10549,11045,11775,12302,12303,12389,12958,13308
Seine-Maritime,22098,23676,25055,26463,26912,27342,27423,27957,28315,28472,28714,28566,28369,28603
Seine-et-Marne,8918.01304294846,9332.71597057473,10089.0600808558,10889,11130,11590,12837,12976,11797,14005,14311,14095,15723,15246
Yvelines,9381,9882,10767,12150,12388,12452,12419,13000,13239,13475,13200,13580,12834,14171
Deux-Sèvres,7210.66221419371,7552.33959981612,7095.06245556799,7149.53765348759,7437.90568959179,7426,7671,7933,8257,8313,7955,8182,8057,8205
Somme,10325,11813,12343,11806,11765,12716,13337,13105,11377,11140,12845,11975,11469,10866
Tarn,10123,10158,10184,10438,10464,10644,10492,10551,10514,10590,10338,10970,11127,11115
Tarn-et-Garonne,6064.2669669686,6453.21908303662,6492.50626726935,6499,6494,6504,6658,6689,6706,6311,6404,6255,6698,6782
