,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nord,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Oise,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Orne,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Pas-de-Calais,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Puy-de-Dôme,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Pyrénées-Atlantiques,droite,droite,droite,droite,droite,gauche,gauche,gauche,gauche,centre,centre,centre,centre,centre
Hautes-Pyrénées,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Pyrénées-Orientales,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Bas-Rhin,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Haut-Rhin,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Rhône,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Haute-Saône,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Saône-et-Loire,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Sarthe,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Savoie,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Haute-Savoie,droite,droite,gauche,gauche,gauche,droite,droite,droite,droite,droite,droite,droite,droite,droite
Seine-Maritime,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Seine-et-Marne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Yvelines,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Deux-Sèvres,droite,droite,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Somme,droite,droite,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Tarn,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Tarn-et-Garonne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,centre,centre,centre,centre,centre
Var,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Vaucluse,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Vendée,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Vienne,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Haute-Vienne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Vosges,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Yonne,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Territoire de Belfort,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Essonne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Hauts-de-Seine,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Seine-Saint-Denis,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Val-de-Marne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Val-d'Oise,droite,droite,gauche,gauche,gauche,droite,droite,droite,droite,droite,droite,droite,droite,droite
